Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
4	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
4	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
5	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
5	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
5	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
5	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
6	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
6	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
6	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
6	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
7	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
7	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
7	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
7	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
8	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
8	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
8	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
8	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
9	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
9	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
9	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
9	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
10	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
10	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
10	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
10	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
11	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
11	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
11	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
11	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
12	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
12	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
12	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
12	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
13	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
13	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
13	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
13	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
14	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
14	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
14	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
14	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
15	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
15	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
15	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
15	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
16	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
16	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
16	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
16	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
17	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
17	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
17	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
17	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
18	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
18	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
18	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
18	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
19	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
19	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
